Client Name,Feature or part of Bridge this feedback is related to,What is the problem the user is experiencing?,Why would fixing this problem be valuable to this client?,Notes
MMS,Groups/Relevant Content/Getting Data Out of Bridge,Admin need a way of exporting the list of learnables on the Relevant Content tab for a Group. Currently the only way to do this is via an API call or copying and pasting the list into a spreadsheet.,"From Client email: ""We use this information quarterly (sometimes more frequently) and asking our IT to set up this API work isn’t feasible."" ",
Tesco,Timeline/PCs,Having the ability for the PC to appear on the timeline with a link to the conversation (similar behavior to 1on1s if a manager is viewing their direct reports) is what they are asking for.,Managers of Managers want to know what is being said in the conversations. The only way to see this is to masquerade as the manager of interest to see the PCs they are having with their team,Done
Tesco,Timeline/PCs,"Managers of Managers have no visibility into the PCs of their downstream reports. From Email: After providing Bridge navigation and coaching training for Tesco the past 2 months, many managers brought up the suggestion of being able to view employees coaching forms that are linked to their Supervisors in their department. Majority of our employees are having their coaching reviews with the Supervisors, and the Supervisors are the one’s being reviewed by the managers.",Managers of Managers want to know what is being said in the conversations. The only way to see this is to masquerade as the manager of interest to see the PCs they are having with their team,
Lucid Chart,Programs & Notifications,"Lucid Chart has a time-bound program where users are enrolled in pre-work, attend a live training and then complete post-work. Admin would like to be able to prod users to completing a specific step of the program. Right now, they have to send the user an email outside of Bridge with the course registration link so the user can easily get to the overdue course from the program. ",It would ease their administrative burden ,
Viewsonic Corporation,Courses,"SCORM courses are taking up to 16 seconds in load time for this client's international users. From what I understand, currently our SCORM courses are loading only on the US server and it's causing delays.",Using CDN deployment for SCORM. https://en.wikipedia.org/wiki/Content_delivery_network,PB has done some investigation into our SCORM engine and unfortunately there's not a quick fix.  Rustici audit is currently happening and we will await results to see if they have recommendations.  A member of the SRE team recently made some changes that should improve performance but not sure if that will directly impact SCORM load times.
College of Southern Nevada,Admin Tools,"""I would highly recommend for Bridge to make it easier to pull transcripts from users that include live training sessions. So my ideas idea is to add it to the manage users tab when you click on employees there are options such as ""Become"", ""View Notifications"", and ""edit users"" there should be an export enrollment option""  

The client wants Admins to be able to pull an individual's enrollments report from their user profile. The report should include all learning item types, completion status, completion date, optional/required, and score.",It would give Admins easy access to individual user data. It would cut out several steps that you need to take to complete this in the Insights deep dive. ,
QOMPLX,Notifications,"QOMPLX would like to be able to change the subject line of the welcome email and change the email domain of the email address the email comes from. Some of their users are saying ""Welcome? Learning awaits"" sounds spammy and are hesitant to sign up.",Giving the clients the ability to customize the welcome emails more so that they can make them more personalized to their company. ,
Quantum Health,Courses,"Bridge's inflexible manager role/more complex org structures. From QH Admin: Our Pods have an unusual structure in that Pod Managers have a 1 to 32 ratio of manager to direct reports on the org charts officially – and that’s how Bridge is reading the relationships. In truth, our Assistant Pod Managers act as direct managers and so do Clinical Team Leads act as direct managers for Patient Care Guides and other nurses in the Pods. The Org chart doesn’t show that. Now that folks are trying to assign training, they don’t have “My teams” on their dashboards and they don’t have permissions to do this.","Allows for these teams to be accommodated. Right now, they will most likely have to give these users a custom role and the downside is that the permissions are all or nothing in stead of being able to be the ""owner"" of a group and only see things related to those users, they'll now see everything. ",
Chemical Bank,Notifications/Insights,"With Limit Manager Permissions enabled, the Author App goes away. When TCF Managers get the weekly digest of Learners who are overdue, the notification isn't helpful because they do not have access to the Author. The managers have to do work to figure out which of their learners need following up with. ",It would allow for more engagement from their managers.,
Brewer Science,Goals,Goal Alignment Flexibility: There’s only one layer of team goal alignment in the current tool. A personal employee goal can’t be aligned to multiple team or corporate goals. ,My group is within HR so our goals sometimes reach across all of the other goals. ,
Brewer Science,Goals,"Goal Visibility: As a manager, I see Corporate goals and my Team’s goals. I can’t see each layer of goals up the chain. It would be helpful for lower-level managers to be able to see the goals set by their managers and their manager’s manager all the way up the chain to the corporate goals. When you only see a portion of the whole chain, it’s like reading the first chapter of a book and then skipping to the last two chapters and being expected to know how everything is connected. ",We would like transparency across the board.,
Brewer Science,Goals,"Team/Corp. Goal-Setting Guidance: Including guidelines for creating goals (especially team and corporate goals) would be very helpful. Maybe just some instructional text within the tool. We encourage smart goals, but there isn’t anything in the tool to help people know how to make smart goals. ","If the upper-level goals are not well-written, it’s difficult to write the lower-level team goals and the personal goals. ",
Aware Recovery Care,Data input from HRIS,"Hierarchies need to be different in Bridge than in the HRIS. For Aware Recovery Care, the hierarchy goes manager>team lead>employee. Managers technically oversee team leads and employees in the HRIS because managers are the only ones privy to compensation information and approve time off requests. However, team leads technically oversee subsets of employees. If we want this hierarchy to reflect in Bridge, it requires a change in the HRIS, which would be a big impact to the organization and reveal information team leads should not have. We are experiencing this issue with a few departments internally at Bridge as well. What they're looking for is an ability to set a hierarchy in bridge independent of the hierarchy in the HRIS. ",Showcase proper hierarchy without unnecessarily revealing additional information through the HRIS.,
Roadster,Live Trainings,They want to change the color of the live training tile as it appears in the learning library,They would be able to change the color to match their content branding and customization.,Related to custom branding
MMS,Courses,Customer is in need of course surveys. Some of their courses require learners to do work offline and they want the survey to capture the quality of the course and if it truly enables the workers to do complete their work,Valuable so that they can maintain the quality of their training courses,"Could we extend the Learn Survey tool for this use case? E.g. make the survey send at the end of the course and allow verbatim comments? 
SF: I did some research a few months back around rate/review and surveys.  I think there's ways to leverage pieces we already have in Bridge but we'd need to prioritize this as I don't think there's a quick/easy solution"
MMS,Courses,"As a work around to not having course surveys, they wanted to use quizzing. They can't for 2 reasons:1) we force a right or wrong answer 2) we only show correct or incorrect on the quiz statistics export. If we could have a new un-scored single select quiz type and be able to export the actual choice that was selected. they could use quizzes as a viable work around. Now they are going to have to use short answer since that's the only question type that allows you to export the response",Allows them to capture quality of the training ,"That is one of the solutions I thought about but overall, this needs prioritization"
Bridge Internal,Engage,"We just received access to our Bridge Engage results. As a manager, I am unable to see which questions correlate to which factors. I believe you can see this through an admin view? It would be very helpful from the manager view to be able to see the questions that were asked so that you can discuss these with the team instead of having to go to the person who administered the survey to get that information. I know sometimes a factor will have multiple questions that feed into it, and you can only see the questions if someone responds with a comment to a question.",It allows the managers or those who would be speaking to teams/departments access to the questions being asked of their employees. It will help give them a greater understanding of the data so that you can put a more actionable plan together,https://instructure.atlassian.net/browse/BRD-1563
Telus,Insights,"Client needs of a report on a quarterly basis that will tell them for terminated users, if they completed specific courses. Seems like something rare that might not have wide market use. But they need it for reporting purposes and is an ongoing need. We have provided a workaround for them using merging of data dump files and Vlookups, but this could really help them if we could have some sort of report in insights where this could be pulled.",They need the data and pulling it from different locations in csvs with vLookups is a big time drain.,
KnowBe4,Courses,"In the SCORM course settings, the client wants to be able to migrate not started learners to the new course version without affecting the in progress learners. This is not possible at this time because there is one setting that encompasses all incomplete learners, but does not let you choose to include ONLY those who hadn't started yet. ",They would be able to have the new users access the most recent version while not having to worry about their learners getting upset about being restarted.,
Instructure,Notifications,It would be nice to set notifications for performance conversations by user / smart group,Because most businesses have contractors and employees. It's not suitable in some instances to ask a contractor to follow certain 1on1 structures like this.,
Veolia,Courses,"Veolia is a huge logistics client in Australia who runs and monitors ALL trainings by Expire date.  This field is not available in places where it's needed which makes it VERY hard for them to keep their drivers and crew in compliance.  Course completion report doesn't have it, nor does the export from groups.  The only place we get it in in the COURSE enrollment and with as many trainings as they have is impossible.   It needs to be easier to manage the courses. Additionally they need to expose the Check point expire date as well which is also lacking reporting altogether. ","Because without Expire date on the completions report they can't do the only thing they bought Bridge for, which was to monitor out of date trainings.  This is a MUST as they have drivers and employees who need these trainings to work.",Could work with Tableau or Domo
Healthmarkets Insurance Agency,enrollments,The admin would like to auto enroll users by choosing a specific time or date and having Bridge auto-enroll the learner at that date without using the enrollment settings on the course page. They also want to highlight that the time of day is the feature they are wanting to focus on. The date is something that they can somewhat control.,They would be able to choose the times that their learners were auto enrolled back into a course. ,
Shopify,Live Trainings,"Shopify wants to use Bridge for a new leader development program called Leading at Shopify. It includes 4 courses. Each course includes online learning, a kick off webinar, and a in-person event. For the in-person events and kick-off calls they will have limited capacity. If an event is at capacity they want the users to be able to put themselves on a waitlist and automatically be enrolled if seats become available. If there are no dates/times that work for them for one of the events, they want users to be notified when new dates and locations become available. 

I have seen other clients (I believe it was One Medical Group) ask for a waitlist feature.","When you put a limit on a live training enrollments, give the option to include a waitlist that will automatically enroll learners if/when a spot opens up. ",
Business Wire,Programs,"After completing a program in full, Bridge allows you to click on the program again from the Learning Library to “Review” the materials. However, when I click on one of the completed courses within the completed program, it brings me to the last page in the course – not the first.",Better learner experience,
Numerica Credit Union,Live Trainings,"Live Training Sessions with Parts: 
When a learner looks at a session with multiple parts, if the same instructor is listed for each part, it displays as 4 instructors. They would like to have the ability to assign one instructor for all parts. 

Additionally, they would like to be able to put different descriptions for each part. On the training calendar, the same description of the LT shows for each part, which doesn't help the learner see what will be covered on the different days of this multi-day training. 

Finally, when a learner enrolls in a LT with multiple parts, they get a registration confirmation where each part is its own calendar download. Furthermore, those calendar downloads are labeled as ""sessions"" which leads to confusion for the admins. For LT sessions that are 10 parts, this is a lot of calendar downloads and they would prefer it was one download that reflected appropriately for each day on the learner's calendar.",Smoother LT experience for learner.,
Numerica Credit Union,Live Trainings,Wants Manager to be able to enroll employees in LTs from the 1on1.,"They wanted a ""manager approval"" stopgap where employees can't complete sign up for a training without their manager okay-ing it. Instead, I suggested that managers assign training from the 1on1, but for LTs, they'd have to make it a task since they can only enroll employees in courses or programs.",
Numerica Credit Union,Live Trainings,Would like to be able to duplicate LTs,"They host a lot of similar live trainings, it would be less manual for them if they could duplicate old LTs.",
Cashman Equipment Company,Admin Tools,"Reporting

o   Managers ability to see the status of all learning objects using Insights, not just elearning (live training, programs, etc.)

o   All reports with user name and/or learning object should include their friendly name (using ID numbers requires pulling multiple reports to make them usable; ID represents different data depending on the report)",It would help their admins manage their work and be more efficient. ,
Cashman Equipment Company,UI,"Customer unfortunately is looking at other LMS platforms for better reporting. However, they have praised that our UI is slick, clean, and no one out there looks as good as ours. They really like Bridge and the majority of how it functions. ",-,
Cashman Equipment Company,Live Trainings,"Live Training

o   Notifications to include calendar invites (like Zoom)

§  Would allow for auto sending updates to live training classes (change in time or location)

o   Waitlists

§  Users notified when they register that they are on the waitlist

§  Users notified in order when seats become available, easy to accept and add to calendar

o   Would like ability to toggle on Manager Approval at the class or session level (nice to have)",Make it more manageable and better user experience. ,
Cashman Equipment Company,Live Trainings," Assigning Training

o   Ability to assign by hire date (enroll all users hired before or after a particular date OR, minimally, ability to assign just to new hires)

o   Ability to have items in a program assign on particular dates (creates drip learning process over time for reinforcement)

o   Ability to assign training to future dates rather than have them send right now (nice to have)",User experience,
HealthMarkets Insurance Agency,Programs,"Team,
I would like to request an enhancement in the way we set up enrollments for learners in courses/programs.
We would like to be able to determine the order that enrollments show in a learner’s enrollments.

For example:
We currently have 4 programs auto-enroll to our new agents when they are loaded into Bridge. Those 4 programs are START, Agency Annual Compliance, SureBridge Portfolio, and Field Training.

We would like the order of those enrollments on the agent’s “My Learning” page to be:

START
SureBridge Portfolio
Compliance
Field Training
 

This is just the example that presented itself, but I’m sure there would be other use cases we would want to use it for as well.
Can this be added to the list of requests for consideration, please?",More flexibility to Programs (I recommended they combine the 4 Programs and use Headers to differentiate the others),
Configura,Courses,"""I had an idea that was pretty heavily up-voted and it made it to the top 10% of ideas before the change to Zendesk was made, ""Publish Changes Silently w/out Resetting Learner Progress"". I was wondering if there's any information on if that will be implemented? We struggle so hard with that one, it's a nightmare when we have to update a single piece of information or when we're trying to fix a spelling error for example and everyone's progress is reset. We use Bridge externally so we have our clients going through courses and we end up looking unprofessional when a learners attempt is reset for no reason that the learner can see, they perceive it as a bug and therefore have a poor user experience which brings the ratings of our courses down. We have a course rating system that we share with our partners once a year and it's a bummer when the ratings go down due to functionality out of our control.""",In an ideal world you would be able to choose if publishing changes resets a learner or not but if we could only go with one I think publishing changes without resetting learners is the way this feature should work. You have the ability to reset learners in the UI  on the Course's learners page so that option isn't going away completely. I think more often than not clients want to make a quick update without learners even knowing they made a change. ,
HealthMarkets Insurance Agency,Homepage,When a new users comes in they are auto-enrolled in four different Programs. The customer is saying that these appear on the learner's My Learning page in random order since they don't have due dates for the Programs or items inside. They would like to be able to order/prioritize these items on the learner's My Learning page so they appear in a specific order. ,"They don't want to put all the items in one Program, because they are on different topics. This would be valuable to the client because they could have their learners take the four programs they're auto-enrolled into in a specific order. ",Curricula could help with this
Vitality,Self-Registration Page,"When a user fills out the self registration form, it does not make it clear to the user when a section is missing. In other words, if they skip some of the fields, no error pops up to say that there are fields which still need to be completed and can’t be blank. This is not applicable to the name, email address and DOB but to all the other sections.",Adding error messages would alleviate end user frustration when they are not clear exactly what is causing the registration to not go through.,I believe the self reg form is custom dev
The Drybar,Courses,"Bullet / Number indents can be copy/pasted into courses, but can not be typed natively within the course creation form.",Authors who need to visually show key topics and well as sub-topics would could do this directly within the Bridge Course rather than in a Word document first,
C Space,Goals,"Teams aren’t a strict hierarchy at CSpace so “teams” and subsequent reporting isn’t working flawlessly. Example: Andrea, a VP, would need to PCs for everyone under her, but her team goals don’t apply to everyone under her. Team goals need to be more flexible for C Space to adopt it. They would prefer to choose who the team goal applies to and/ or have Team goals that show to an entire department, not just the manager and direct reports. ",They would likely utilize team goals more. ,
C Space,Connect/Directory,"People at C Space aren't putting their own pictures into their profile because the animal avatars ""give them joy."" They wish they could pick their own animal avatar instead of uploading their own picture. ","As a CSM, I look at who uploaded a personal picture to judge adoption of the directory. I argue that it's a quick way to see if people are personalizing that space, but now I learned that at C Space, people are intentionally keeping their pictures off so that they keep the animal avatar. I kinda wish we made that avatar just initials to make it less enticing not to upload a photo. ",
C Space,Skills Assessments,"Assessments won't register a submission unless the slider scale was moved. Some employees want to assess someone as exactly in the middle of the scale, which is where the slider sits by default upon coming to a new assessment question. Employees are getting confused when they want to submit a response as ""middle of the scale"" and don't see a need to move the slider, but then the answer doesn't register. The admins are constantly telling people ""you have to move it even the smallest bit for it to register.""",Less questions about this issue from users to my admin.,
C Space,Skills Assessments,"Issue with lack of assessment reminders and missing the assessment if it closes, being unable to reopen the assessment if someone misses it is an issue. ",more responses on an assessment.,https://instructure.atlassian.net/browse/BRD-1565
Business Wire,Programs,"Need reset learners in programs. Right not, only support has the ability to do that. ","They are just getting started with Bridge and launched today. Through their testing, noticed this gap. ",
Business Wire,Programs,Having the option to add new courses to existing programs and enroll completed learners in those newly added courses. ,"They are just getting started with Bridge and launched today. Through their testing, noticed this gap. ",
BGSU,Courses,Authors can create and add tags but cannot remove a tag from a course.  WHY?,"Yes, as Authors who make mistakes currently have to go to an admin to remove a tag from a course they just created.",
Heinemann ,Learning Library,Would like Grid View to be the default view in MyLearning and Learning Library.,It's a nicer display,
Myriad,Groups,They are wanting to copy groups instead of creating similar groups all from scratch. ,They would be able to create templates of groups. This would make it easier for them to create their groups. ,
Zenimax,Skills Assessments,"Scale Skill Assessment Requests: Managers with large teams are already extremely pressed for time. Adding the task of requesting skill assessments for each team member one-by-one greatly hinders their willingness to adopt this feature, and thereby limits the amount of targeted feedback users receive. ",Bridge could allow skill assessment feature adoption by allowing manager (or Admin / HR team members) to request assessments of manager groups/smart groups in bulk (i.e. all Sales Reps under Sarah Bland) should be assessed by their team on these 3 skills.,
Heinemann ,1on1s - Performance Conversations,Would like to see ratings within the Performance Conversation or at the end of the conversation,This matches their current performance flow. ,
Heinemann ,1on1s - Performance Conversations,Different cadences for PCs,Different teams/departments within the org would like to run their PC cycle on different timelines,
Heinemann ,Talent Review,"Love the ability to add additional questions, but they want the ability for those custom questions to tie into the employee's placement on the 9box.",We force them to fit our model and aren't flexible enough to really meet them where they are at with their performance review cycle ,
Heinemann ,1on1s - Performance Conversations,Want a more flexible PC structure. They would love to see a survey monkey style form builder to better match their existing performance appraisal.,We force them to fit our model and aren't flexible enough to really meet them where they are at with their performance review cycle ,
Canada Homestay Network,Skills Assessments,"CHN requires managers to send skill assessments on behalf of their team (those assessments must be Non-Anonymout and there is no other way to request a non-anonymous assessment). This puts on the manager the burden of A) remembering to request assessments and B) the labor of requesting skill assessments for each team member one-by-one greatly. This hinders their willingness to adopt this feature, and thereby limits the amount of targeted feedback users receive. It would be better if a) this were easier b) admin could easily do this on the managers behalf c) these assessment requests went out as part of the PC schedule d) could be requested within the PC creation flow",Would relieve Admin burden by not having to hound manager to request assessments on behalf of their team. ,
True Talent Advisory,Skills Assessments,Want reminders for assessments for those who need to complete them and the sender when the expiration date is approaching. ,More responses on assessments.,https://instructure.atlassian.net/browse/BRD-1565
Bridge Internal,Social Engagement,I’ve talked to a few prospects lately that are looking for more of a LXP enviroment that allows employees to have access to non required training but more importantly have a open area to discuss best practices and best techniques with their peers as they are now going to wfh and training methods online for unforeseeable amounts of times.,Creating a social experience and flexibility between self paced and classroom or group centered learning,
Central Square University,Programs,Admin/Mgr cannot easily identify course to program affiliations for auditing,It would help identify the breadth of deployment of courses across business units; identify duplication/redundancy across programs. This helps with adoption as well as course  and program maintenance ,
Bridge for Bridge,Engage,"We're having reports of various employees who did not get an email to fill out the engage survey and swear that they never filled it out. In searching their spam/junk there is no evidence of an engage email reaching their inboxes. When devs looked in to one employee, they saw it was marked completed, but that employee never received the email, so it's impossible that they filled it out. I've had a similar issue with clients where employees either filled out the survey and forgot or legitimately never got an email. As a result, some managers with teams of 5 or 6 aren't getting dashboards, not because employees voluntarily didn't fill out the survey, but because they never got the chance. I wish there was a way I could help them troubleshoot why surveys weren't filled out, but I don't have any visibility into the emails that were sent and/or completed.",More visibility into why completion scores may not be at 100%,
Southwest Tennessee Community College,Live Trainings,"They use Microsoft Teams for a web conference provider. In Live Trainings to add this video information they need to choose ""Other"" from the drop down list. Jennifer said, ""I was thinking since there is a link to create a web conference, that they can also provide option for teams. Right now we have to select other. The language is confusing for our users because they think they will have to download something if we use that option. If Teams is integrated the way the others are, the text would read join the meeting using Microsoft Teams rather than join the meeting using “Other”.""",It would provide clarity to the end users who think they need to download something in order to access the Live Training so the experience would be much more seamless. I have also gotten this feedback from the client Global Resources International. ,
Persado,Courses,The admin would like to be able to pull learner data by learner at the Course level. An example would be finding Jane Doe's quiz results for Course X. Right now they can only find by exporting larger reports and filtering by the individual. ,"The admin wouldn't have to export a report and filter through users in a CSV to find a specific user's score, so this would save them a lot of time. ",
Persado,Courses,"We have a value for each letter of our company and rather than doing a simple 'matching' which someone just needs to spell out the company name to get it correct, we are utilizing the 'Vocabulary' smart questions. So when we make the question, on the left side we put the value: People and the right the definition ""At Persado, our people are our most important asset.' When we cycle the type questions we get the attached. You'll notice the double period at the end as well as capitalization of 'at' where in this particular sentence, it shouldn't be unless there is a colon.  To avoid the double period, I removed it from the value in the answer. However, when I cycle through again, because I've removed the period, it now removes it from another type of question but the question is grammatically correct otherwise. 

While on this topic, it would be really great if we could get data by question. It would be great to see which version of each question is getting the most correct and the least so we know what information may need to be updated/remediated/etc. It can really help us hone in on learner knowledge.",We might need to reevaluate the different formats smart questions come in or at least give the clients more control over which possible questions cycle through so that they always appear grammatically correct unless the client makes a mistake. The other suggestion in this form is the option to show by question which format gets the most correct responses vs. incorrect. I think if this is shown in the UI that would be best rather than a report.,
Brewer Science,Courses,Courses must be uploaded to Bridge one at a time. Brewer Science gets 15+ new SCORM courses every month from a content provider. It take hours to upload them into Bridge and then add them to the Library. They would like to upload SCORM in bulk with a Category already assigned so that they can be added to the library. Some of the content that we receive monthly is an update to a course we currently have.,We are more or less looking for a work around to upload in bulk new content of the same category to streamline adding courses into Bridge. ,
Paychex,Notifications,"Bridge does not log email notifications (sent or failed). In the event a queue is backlogged, fails, or is cleared, notifications are potentially lost and cannot be retriggered to alert users of the myriad of notifications: new users, new enrollments, alerts... ","In the event of a system failure, Bridge could resend notifications to alert those users of the original event that would have triggered said notification ",
SGWS,Admin Tools,"When uploading users into Bridge, be it user accounts, enrollments, or uploading to live training sessions, when the confirmation message comes up, it would be nice to get the email or UIDs of those users who ""will be ignored' so that the Admin can research the issues. This falls into a 'better error messaging' feature. ",Admins would feel better supported to know where to go to fix enrollments or issues. ,
AvidXchange,Engage,"AvidXchange is currently setting up a test Engage Survey for a few departments. The survey is only open 5 business days and I suggested they go heavy on the reminders so that people who procrastinate on filling the survey out get a lot of opportunities to do so. They grimaced thinking of how the people least likely to take this particular survey are the heads of those test departments who are judging whether Engage is for them or not. They were thinking about how many emails the dept heads would get and how they'd feel spammed and it would look bad on Engage. So, to not upset the department heads, they limited email reminders, which in my opinion will hurt the majority of people who they're looking for feedback from. AvidXchange wishes there was a way to decide who within a survey group was exempt from receiving notifications.",,
AvidXchange,Engage,Would like the ability to copy surveys.,"They have a use case where they want to send the same survey to multiple groups. Some employees in the same department report to different managers and they don't want managers to see results for ""product marketing"" and not know if it's their employees or someone else's. Recreating the same survey twice is too manual and they'd like to be able to duplicate the survey.",
AvidXchange,Engage,"The final check before liftoff is confusing, specifically the wording around scheduling. They're creating a survey that's only going out to one department for now with no intention of repeating it at this time, so their cadence is one time, everyone 12 months, starting May 7th, open until May 11th, ending on May 12th. The language says ""This survey will start May 7th and repeat every month until the end of time, ending May 12th 2020.""",Make them feel more secure before sending out their survey because they understood the final checks. ,
Bridge Internal,Sub-Accounts,"It is hard to know if a sub-account is used for EE licenses or normal licensees. This came up as a customer is thinking about adding additional EE users to Bridge and I went to pull the users CSV to see how many accounts have already been used this contract year. Since I did not implement them and they have a few sub-accounts, I am not sure which ones count towards EE licenses or normal licenses. I am asking the Admin to confirm, but I imaging with the amount of admin turnover we see, this may not be something all admin would have the institutional knowledge to know. ","There may not be a perfect solution or even a product, but something to think about if it could be incorporated into the sub-account set up process.",
Veolia,Insights,"Expiration date is not visable in Completions report where it should be. It's a course level setting.  The only please it shows is deep in the ""How Compliant is My"" if you generate it from groups and ONLY down at the learner level, but does not show en mass more than one user.   If we don't have it in one place, it would be great to have it in another.  ",Expiration field is necessary to track for the running of management report to keep all employees up to date on Vital training. ,
Persado,Certificates,They want a better view of certificates. They want managers to be able to quickly see which direct reports have received certificates from both courses and programs. The only way to do this currently is the completed users report from the Insights page and that is specific to courses ONLY. ,"From the client***
I think if there was a hierarchy, it would be:
1) managers being able to see it on their insights page as a card. i.e certificates earned on team. much like they can see overdue learners or learner progress
2) a report by the team from the deep dive filters
3) by course and programs.

Seeing the certificates earned by course at the course level would for sure be at the bottom of the list as some managers have learners in multiple courses concurrently. This would mostly fit the process of 'who has earned a certificate from this course' rather than the overall 'what certificates has Rory earned this month'",
Precision Diagnostics,Learn Surveys,Admin want to be able to send a survey upon completion of each course and upon completion of each Live training,They wanted to use engage for this but that is not the use case so they are considering using another survey tool. But they would ideally want to keep all of this data in Bridge and it can be their one stop shop. ,
Sanford Lab,Admin Tools,"Pete does not want the manager direct reports to show up for all managers. He has one manager who is the manager of three other managers. He wants that user to show only 3 users, not 107 users. Right now, it includes those managers and then their direct reports as well. He wants this to be different.",They would be able to customize/control their direct reports.,
The Behler-Young Company,1on1s - Check Ins,"They would like to customize the feature names like ""1on1s"". Their company uses that term differently, and it’s causing some confusion.",It would reduce confusion for their users.,
Altura,Learning Library,"Altura cannot use ""course cover slides"" because the loading times are prohibitive. They have had to turn these OFF in the learning library on production due to the loading time and what appears to be a lack of caching (navigating away from library after loading and back requires reloading)
","It allows for a more lovely and engaging user experience. It would illustrate ""enterprise readiness"" for features to scale for all customer types. ",
Indrasoft,Admin Tools,"It would save me multiple clicks and downloads if the individual files for each course enrollment were available when you export the program enrollments. Because I only have one live course in my program, I can make good use of that file, but with multiple courses the enrollments one is useless – especially if I’m trying to trend quiz responses or something of the sort.

",Help the admin increase their efficiency and make Bridge more user friendly on their end for reporting purposes,
Altura,Learning Library,"When an account has more than ~17 SubAccounts, the ROOT cannot see the full list (no scrolling) of accounts to filter from. It stops","Ability to, in APP without having a URL list, be able to filter and review content associated with Sub-Accounts",
Vitality,Learning Library,"The learning objects that appear under a category in the Learning Library appear in order of most recently created. For those customers that have many objects in a category or want them ordered in a specific way, they aren't able to change this unless they create an entirely new object. They want to have a recommended order for people to take learning objects without having to assign all of them through a program. It's a recommendation, but not forcing them to take all.","This would allow them to orient their Learning Library in a way that was more digestible for learners. They currently had to create a new Category just for ""new items"" and aren't able to provided a recommended order. ",
Brattle Group,Notifications,"Currently when an admin does a manual CSV upload and there are errors in the log, they don't get a notification. So they have to go back and manually check each time they do a CSV upload, which creates an unnecessary step. They'd like to have a notification if there is a log in the first place.","This would take out an unnecessary step, saving them time. ",
Persado,Courses,"The course summary page only shows you data on required learners, not learners who enrolled in the course optionally. There is no quick way to view this data for all learners. You have to go into the custom deep dive reports to gather this information.  
From the client: ""Sometimes we get asked for quick data like 'how many people have enrolled' or 'what's the completion %' and the summary is really helpful as a quick look for us and our managers. I guess our feedback is we aren't looking to pull a report vs. just a quick overview by course in the course summary. See attached(it was a pic of a blank course summary page because the course does not have any required learners). There are no required learners but there are learners in the course because the course is recommended. ",They would be able to see at a glance the course data around all learners. I think if there was a way to toggle between required learners course summary and all learners course summary info it would be beneficial. ,
Brewer Science,Talent Review,Would be cool to have the new custom Talent Review questions feed into where on the 9box th learner lands. So if I had 6 custom questions (3 for each axis) it would average to where an employee should land on the X or Y axis. I.E. an average of these 3 questions put you /here/ on the X axis.,Help the manager to be less subjective.,
Veolia,Live Trainings,"Author emails go to the Author of the Live Training name (the person who originally created the Live Training) but not to the creator of the session, who is mot often not the same person. In large orgs, the wrong person often get's upcoming session and other notifications. ",The instructor or the person hosting the session would be on the receiving end of the right notifications. ,
Business Wire,Courses,"BW would like there to be a table of contents for courses so that you have a sense of what is coming during the course. The navigation dots are nice, but if you don't know what is on each page, it can take a while to find the right place. ",They want their learners to easily be able to come back to courses to find what they need.. ,
Business Wire,Courses,Would like to have in-app product notifications ,"After talking about global nav, they were wanting to know if changes like that would be notifications within the app. ",
Gaylor Electric,Notifications,"Would like to have a weekly digest that is only for a manager's direct reports, not their entire reporting hierarchy.","Would be faster for managers to be accountable for their DRs and if they wanted to look into their hierarchy further than that, they can deep dive. But at first glance, they want to know about their DR's not the entire hierarchy.",
Gaylor Electric,Courses,"Would like to be able to unenroll from a course. Currently, if employees start a course that they realize they don't want to finish, they either have to finish it or it just sits abandoned and incomplete for the rest of time unless an Account Admin unenrolls them.",more autonomy for the learner. ,
Gaylor Electric,Mobile App,Gaylor would like to see their branding reflected on the Mobile App,continuity between web and mobile Bridges,
Datalogic,Homepage,Having to change the 'view' from list to grid every time they log in,having the option of setting a default view ,
Instructure,My Learning Page,"The due date and certificate link are not included in the grid view due to spacing issues, the client is wanting our product team to reconsider this and add it to the grid view tile. ",They would be able to see the same information in both the grid and list view without having to switch to get the information you need. ,
Shetland Islands Council,Learning Library,"In the Learning Library, in grid view, when you hover over a course tile, whilst the box slightly expands a little, the course descriptor does not expand fully to display the descriptor in full if there are more than 112 characters in that descriptor.",This would enable all learners to see the course descriptor in full and may have an impact on the take up of that course.,
Canada Homestay Network,Courses,"Would like the ability to link a Skill (or Competency) to a Course or specific Quiz Question, and then to report on skills that learners did well/poorly on. Helpful for assessing hard skills (e.g. product knowledge) more objectively, whereas Feedback is helpful for Soft Skills (e.g. communication).
",This would allow for a more subjective Skill Assessment than might be provided by the manager/peers/self. ,
AvidXchange,Engage,"They would like the ability to change comment sentiments because the automated assumption of comments being positive, negative or neutral are ""so far off."" ",More accurate sentiment data,
Altec,Notifications,"If manager permission are suppressed to NOT allow authoring or enrolling, and a manager gets a manager digest, the hyperlinks on the courses take the manager to a ""there's nothing to see here"" page.  We need to turn the hyperlink OFF so that this doesn't happen. ",Manager would not get so frustrated.  The digest provides very little info but at least it wouldn't result in a negative experience of being directed to a broken link. Maybe the page can have instructions on how to log into Bridge to see those names. ,
